cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="45-115-167-32x3944xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="45919",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::8",="134.00 B",="892.23us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::8",="2022-10-22 23:59:54.746920253"
="36-156-127-62x1513xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="53135",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::9",="134.00 B",="929.86us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::9",="2022-10-22 23:59:53.215704445"
="45-115-167-32x1009xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="49306",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::B",="134.00 B",="911.64us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::B",="2022-10-22 23:59:51.379367557"
="36-156-127-62x2494xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="45681",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::9",="134.00 B",="890.45us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::9",="2022-10-22 23:59:50.197630778"
="45-115-167-32x7494xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="42691",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::B",="134.00 B",="870.92us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::B",="2022-10-22 23:59:44.649313103"
="36-156-127-62x9643xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="57560",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::A",="134.00 B",="971.05us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::A",="2022-10-22 23:59:42.202056675"
="2409:8c7a:a01:60:0:0:0:1cex6921xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="45803",="2409:871E:8200:4::FFFB",="2409:807A:2001:1001::44",="147.00 B",="875.94us",="2409:871E:8200:4::FFFB",="未知网段",="2409:807A:2001:1001::44",="2022-10-22 23:59:28.398028239"
="2409:8c20:9c71:101:0:0:0:d4x5523xmapsystm.icbc.com.cn",="1(A)",="348.00 Bps",="中国",="中国",="50081",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::A",="148.00 B",="867.96us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::A",="2022-10-22 23:59:26.025915622"
="39-152-198-141x5613xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="47415",="2409:871E:8200:4::FFFB",="2409:8014:2001:1105::1",="135.00 B",="759.91us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8014:2001:1105::1",="2022-10-22 23:58:57.231451188"
="61-147-227-97x8657xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="16622",="2409:871E:8200:4::FFFB",="240E:5A:100:100B::3",="134.00 B",="1.02ms",="2409:871E:8200:4::FFFB",="未知网段",="240E:5A:100:100B::3",="2022-10-22 23:58:56.919073222"
="111-29-28-161x8142xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="10723",="2409:871E:8200:4::FFFB",="2409:805E:2000:2::5",="134.00 B",="855.41us",="2409:871E:8200:4::FFFB",="未知网段",="2409:805E:2000:2::5",="2022-10-22 23:58:53.294716377"
="36-249-67-41x3391xmapsystm.icbc.com.cn",="1(A)",="330.00 Bps",="中国",="中国",="60051",="2409:871E:8200:4::FFFB",="2408:8000:D201:F0B::1",="145.00 B",="860.25us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8000:D201:F0B::1",="2022-10-22 23:58:32.206536790"
="2408:8763:0:e:0:0:0:4bx556xmapsystm.icbc.com.cn",="1(A)",="336.00 Bps",="中国",="中国",="33833",="2409:871E:8200:4::FFFB",="2408:8663::1:15",="142.00 B",="864.69us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8663::1:15",="2022-10-22 23:58:28.884983142"
="2409:8c70:3a00:70:0:0:0:511x1588xmapsystm.icbc.com.cn",="1(A)",="348.00 Bps",="中国",="中国",="51477",="2409:871E:8200:4::FFFB",="2409:8070:B:1005::5021",="148.00 B",="841.24us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8070:B:1005::5021",="2022-10-22 23:58:12.977637838"
="211-95-52-190x2032xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="63216",="2409:871E:8200:4::FFFB",="2408:8026:480:200::B",="134.00 B",="922.01us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8026:480:200::B",="2022-10-22 23:58:01.220761970"
="240e:f7:4f00:1a00:0:0:0:48x7312xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="45235",="2409:871E:8200:4::FFFB",="240E:1C:6200:1::5",="147.00 B",="1.14ms",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:1::5",="2022-10-22 23:57:51.535055985"
="118-213-93-177x1195xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="40433",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="147.00 B",="915.77us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 23:57:42.333249624"
="113-201-239-227x9763xmapsystm.icbc.com.cn",="1(A)",="336.00 Bps",="中国",="中国",="56633",="2409:871E:8200:4::FFFB",="2408:8001:B043::1001",="148.00 B",="860.66us",="2409:871E:8200:4::FFFB",="未知网段",="2408:8001:B043::1001",="2022-10-22 23:57:39.987447555"
="118-213-93-177x7779xmapsystm.icbc.com.cn",="1(A)",="334.00 Bps",="中国",="中国",="47624",="2409:871E:8200:4::FFFB",="240E:44:4001:8001::73",="147.00 B",="916.09us",="2409:871E:8200:4::FFFB",="未知网段",="240E:44:4001:8001::73",="2022-10-22 23:57:38.869262662"
="117-149-139-169x8180xmapsystm.icbc.com.cn",="1(A)",="324.00 Bps",="中国",="中国",="53934",="2409:871E:8200:4::FFFB",="2409:8028:2003:8000::36",="136.00 B",="948.73us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8028:2003:8000::36",="2022-10-22 23:57:34.935805632"
="122-225-28-226x5029xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="28229",="2409:871E:8200:4::FFFB",="240E:1C:6200:1::5",="135.00 B",="957.89us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:1::5",="2022-10-22 23:57:27.537435959"
